"FriendlyName","InstanceId"
"Intel(R) Management Engine WMI Provider","SWD\DRIVERENUM\OEM_WMI_COMPONENT&4&281C0E8E&0"
"Intel(R) Software Guard Extensions Software","SWD\DRIVERENUM\SGX_PSWDCAP_INSTALLER&3&1255D4D5&0"
"Thunderbolt(TM) HSA Component","SWD\DRIVERENUM\THUNDERBOLTHOSTCONTROLLERHSA&7&152EDE61&1"
"Brother MFC-L3750CDW series","SWD\ESCL\E3248000-80CE-11DB-8000-B42200A7FFC4"
"Brother MFC-L3750CDW series","SWD\IPP\E3248000-80CE-11DB-8000-B42200A7FFC4"
"MIDI 2.0 Virtual Devices","SWD\MIDISRV\MIDIU_APP_TRANSPORT"
"Service Test Loopback A","SWD\MIDISRV\MIDIU_DIAG_LOOPBACK_A"
"Service Test Loopback B","SWD\MIDISRV\MIDIU_DIAG_LOOPBACK_B"
"Service Test Ping (Internal)","SWD\MIDISRV\MIDIU_DIAG_PING"
"MIDI 2.0 Service Tests","SWD\MIDISRV\MIDIU_DIAG_TRANSPORT"
"MIDI 2.0 Loop Devices","SWD\MIDISRV\MIDIU_LOOP_TRANSPORT"
"Lautsprecher (Synaptics Audio)","SWD\MMDEVAPI\{0.0.0.00000000}.{F8CCAF0E-A20B-48B1-A7B6-CAB26A087789}"
"Mikrofon (Iriun Webcam #2)","SWD\MMDEVAPI\{0.0.1.00000000}.{0540F284-E898-479A-A270-10632F21C229}"
"Mikrofon (Iriun Webcam)","SWD\MMDEVAPI\{0.0.1.00000000}.{7E109D29-7195-46F7-873D-F1367E3B6E39}"
"Microphone Array (Synaptics Audio)","SWD\MMDEVAPI\{0.0.1.00000000}.{A26BAC58-EF06-42B8-AC56-BFC6C0D88749}"
"Microsoft GS Wavetable Synth","SWD\MMDEVAPI\MICROSOFTGSWAVETABLESYNTH"
"Microsoft Device Association Root Enumerator","SWD\MSDAS\{CE958E9A-424F-4C88-86F4-11314821E75A}"
"Microsoft RRAS Root Enumerator","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}"
"WAN Miniport (IKEv2)","SWD\MSRRAS\MS_AGILEVPNMINIPORT"
"WAN Miniport (L2TP)","SWD\MSRRAS\MS_L2TPMINIPORT"
"WAN Miniport (Network Monitor)","SWD\MSRRAS\MS_NDISWANBH"
"WAN Miniport (IP)","SWD\MSRRAS\MS_NDISWANIP"
"WAN Miniport (IPv6)","SWD\MSRRAS\MS_NDISWANIPV6"
"WAN Miniport (PPPOE)","SWD\MSRRAS\MS_PPPOEMINIPORT"
"WAN Miniport (PPTP)","SWD\MSRRAS\MS_PPTPMINIPORT"
"WAN Miniport (SSTP)","SWD\MSRRAS\MS_SSTPMINIPORT"
"Microsoft XPS Document Writer","SWD\PRINTENUM\{5B83B686-A077-4B4D-BE5E-77E9A07DA9A5}"
"Fax","SWD\PRINTENUM\{7E7FA355-5DFC-416A-99A6-380386FC2B12}"
"Solid Edge PS Printer 3.0","SWD\PRINTENUM\{C2522F31-DBF4-45DC-A085-30C75BA32603}"
"Brother MFC-L3750CDW series","SWD\PRINTENUM\{D5664821-857B-41B0-95B0-D48C3B94DB79}"
"Microsoft Print to PDF","SWD\PRINTENUM\{F70F974C-6B22-442B-AE44-32BA94A34DF5}"
"Stammdruckwarteschlange","SWD\PRINTENUM\PRINTQUEUES"
"Brother MFC-L3750CDW series","SWD\PRINTENUM\WSD-AF007BB4-5724-42A9-B66B-4535B9083C04"
"Microsoft Radio Device Enumeration Bus","SWD\RADIO\{3DB5895D-CC28-44B3-AD3D-6F01A782B8D2}"
"Alcor Micro USB Smart Card Reader 0","SWD\SCDEVICEENUM\2_ALCOR_MICRO_USB_SMART_CARD_READER_0"
"Smart Card Device Enumeration Bus","SWD\SCDEVICEENUMBUS\0"
"Microsoft Passport Container Enumeration Bus","SWD\SCDEVICEENUMBUS\1"
"Lenovo Camera Group","SWD\SGDEVAPI\CB736B04A1BE7A25BB51620CE0ADB6900600945CE104C046FB0B3EB6C2B1CA97"
"ThinkPad P53P73 STM TPM Firmware 73.64 (from 73.8)","UEFI\RES_{4C8D6C28-7F90-469E-9B0B-047977A9241E}\0"
"Ger?tefirmware","UEFI\RES_{54BDCE35-631E-47A6-A3EE-382F64814F68}\0"
"Camera Firmware","UEFI\RES_{73AB0FDE-93AD-41D6-8268-AD3C562A0151}\0"
"ThinkPad P53 / P73 Intel Management Engine 12.0 Firmware 12.0.95.2489","UEFI\RES_{84B80435-53B7-4FC0-AA78-D225A59BE53F}\0"
"Ger?tefirmware","UEFI\RES_{8C5629B7-4345-44C8-9344-4C549246D171}\0"
"ThinkPad P53/P73 System Firmware 1.49","UEFI\RES_{9D97F767-EA06-474F-9141-7E2430D97FC1}\0"
